uri_path	country	hits
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Bulgaria	18
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Peru	18
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Russia	18
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Ethiopia	18
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Netherlands	18
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Hong Kong	17
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	China	17
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Indonesia	17
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Algeria	17
/mobile/android/wikipedia/betas/wikipedia-2.0.102-beta-2015-05-14.mapping.tar.gz	China	17
/mediawiki/1.25/mediawiki-core-1.25.0-rc.0.tar.gz	United States	17
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Spain	17
/mediawiki/1.12/mediawiki-1.12.1.tar.gz	United States	17
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Philippines	17
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Colombia	16
/mediawiki/1.12/mediawiki-1.12.1.patch.gz	United States	16
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Ethiopia	16
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	Germany	16
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Pakistan	16
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	India	15
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	New Zealand	15
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Madagascar	15
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Iran	15
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Greece	15
/mediawiki/1.23/mediawiki-1.23.5.tar.gz	China	15
/mediawiki/1.15/mediawiki-1.15.1.tar.gz	United States	15
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Philippines	14
/mediawiki/1.25/mediawiki-core-1.25.1.tar.gz	Germany	14
/mediawiki/1.24/mediawiki-1.24.1.tar.gz	Netherlands	14
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Nepal	14
/mediawiki/1.18/mediawiki-1.18.1.tar.gz	Czech Republic	14
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Peru	14
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Bangladesh	14
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Indonesia	14
/mediawiki/1.23/mediawiki-1.23.2.tar.gz	Netherlands	14
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Nepal	14
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Slovenia	13
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Sweden	13
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	Morocco	13
